CaseID$,CNTYNAME,STATE,FIPST,FIPCNT,ADVCHBD,SEVADV,ALLOTHER,AMERBAPA,ARMENIAN,ASSEMBGD,CPRIMBAP,FREEWBAP,GENBAP,NEGROBAP,NBAPT,PRIMBAP,REGBAP,SOUTHBAP,UNITBAP,UNBAPAM,DUNKCON,DUNKPROG,BUDDHIST,CHCHRIST,CHCHRSCI,CHGOD,CHGODCH,CHGODNA,NAZARENE,CHBRETH,CONGREG,DISCIPLE,EASTORTH,RUSSORTH,EVANREF,EVANCHR,EVANCONG,EVANAUG,EVANUNIT,FEDERATE,FRIENFOU,FRIENORT,GRKORTHH,JEWISH,CJCLDS,LDSREORG,LUTHAMER,LUTHAUG,LUTHSOUM,LUTHFREE,LUTHWISC,LUTHNORW,LUTHMO,LUTHUNDA,LUTHUNIT,LUTHUNAM,MENNON,AME,AMEZION,COLMETH,METHEPIS,METHEPS,METHPROT,POLISH,CUMBPRES,PRESBUS,PRESBUSA,UNITPRES,PROTEPIS,CHRREF,REFAMER,CATHOLIC,SALVARMY,SCANDEV,UNITAR,UNTBRCHR,UNIVER,REFEPISC
1467,WINSTON,MISSISSIPPI,28,80,0,0,847,0,0,0,0,0,0,1559,0,0,0,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,135,1412,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
1468,YALOBUSHA,MISSISSIPPI,28,81,0,0,147,0,0,0,0,0,0,3956,0,110,0,1784,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,780,411,0,1078,0,0,0,364,0,0,26,0,0,43,0,0,0,0,0,0
1469,YAZOO,MISSISSIPPI,28,82,0,0,349,82,0,0,0,0,0,11681,0,0,0,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,438,636,1537,40,0,0,300,0,0,170,0,0,520,0,0,0,0,0,0
1470,ADAIR,MISSOURI,29,1,0,0,810,0,0,16,0,0,0,22,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1347,0,0,0,0,0,482,0,40,0,0,481,0,0,0,0,0,0
1471,ANDREW,MISSOURI,29,2,0,0,293,0,0,0,0,0,0,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,351,0,0,0,0,14,0,22,0,0,55,0,0,0,0,0,0
1472,ATCHISON,MISSOURI,29,3,0,0,1603,0,0,46,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,676,0,0,0,93,279,0,36,0,0,85,0,0,0,0,0,0
1473,AUDRAIN,MISSOURI,29,4,0,0,532,0,0,66,0,0,0,375,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,126,0,0,0,1507,0,0,0,747,226,0,0,0,0,1140,0,0,0,0,0,0
1474,BARRY,MISSOURI,29,5,0,0,891,0,0,0,0,0,0,0,0,0,0,2244,0,0,0,0,0,275,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,819,100,0,0,0,0,166,0,0,0,0,884,0,0,0,0,0,0
1475,BARTON,MISSOURI,29,6,0,0,385,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,93,132,0,14,0,0,113,0,0,0,0,0,0
1476,BATES,MISSOURI,29,7,0,0,872,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,81,0,0,0,0,0,0,0,958,0,0,74,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,230,0,0,0,0,28,0,0,1333,233,0,0,0,0,427,0,0,0,0,167,0,0,0,0,0,0
1477,BENTON,MISSOURI,29,8,0,0,1055,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,136,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
1478,BOLLINGER,MISSOURI,29,9,0,0,692,0,0,23,0,0,543,0,0,0,0,227,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0
1479,BOONE,MISSOURI,29,10,0,0,898,0,0,0,0,0,0,1027,0,0,0,2418,0,0,0,0,0,66,0,0,0,0,0,0,0,1552,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,358,0,0,0,2580,0,0,0,510,0,0,261,0,0,366,0,0,0,0,0,0
1480,BUCHANAN,MISSOURI,29,11,0,0,3276,0,0,135,0,0,0,566,0,0,0,2258,0,0,0,0,0,0,0,0,0,0,0,0,410,4068,0,0,1294,0,0,0,0,0,0,0,0,3200,0,878,0,0,0,0,0,0,770,0,0,0,0,400,0,0,2682,3613,0,0,0,1341,105,0,0,0,0,8653,0,0,0,0,0,0
1481,BUTLER,MISSOURI,29,12,0,0,768,0,0,81,0,0,486,587,0,0,0,1552,0,0,0,0,0,198,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,113,0,0,0,1023,0,0,0,0,144,0,43,0,0,1119,0,0,0,0,0,0
1482,CALDWELL,MISSOURI,29,13,0,0,623,0,0,58,0,0,0,19,0,0,0,241,0,0,0,0,0,207,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,728,0,0,0,0,79,0,0,0,0,220,0,0,0,0,0,0
1483,CALLAWAY,MISSOURI,29,14,0,0,130,0,0,22,0,0,0,763,0,0,0,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,110,884,0,0,0,968,0,0,50,0,0,241,0,0,0,0,0,0
1484,CAMDEN,MISSOURI,29,15,0,0,104,0,0,38,0,0,0,0,0,0,0,1764,0,0,0,0,0,117,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1485,CAPE GIRARDEAU,MISSOURI,29,16,0,0,902,0,0,138,0,0,220,480,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,834,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,4986,0,0,0,0,367,0,0,450,2446,0,0,0,712,0,0,132,0,0,4688,0,0,0,0,0,0
1486,CARROLL,MISSOURI,29,17,0,0,138,0,0,45,0,0,0,158,0,0,0,2239,0,0,0,0,0,317,0,0,0,0,0,0,74,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,951,0,0,0,0,134,0,0,964,1185,0,0,0,0,140,0,19,0,0,505,0,0,0,0,0,0
1487,CARTER,MISSOURI,29,18,0,0,137,0,0,51,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,CASS/VAN BUREN,MISSOURI,29,19,0,0,661,0,0,28,0,0,0,36,0,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,72,0,0,0,0,0,0,0,789,1096,0,0,0,170,164,0,18,0,0,44,0,0,0,0,0,0
1489,CEDAR,MISSOURI,29,20,0,0,61,0,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0,41,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,14,0,0,0,0,0,0,0,449,139,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0
1490,CHARITON,MISSOURI,29,21,0,0,192,0,0,9,0,0,0,250,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,0,0,0,0,239,0,0,360,1686,0,0,0,98,0,0,17,0,0,1768,0,0,0,0,0,0
1491,CHRISTIAN,MISSOURI,29,22,0,0,131,0,0,0,0,0,103,0,0,0,0,1347,0,0,0,0,0,296,0,0,0,0,0,0,0,571,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,52,0,0,0,0,283,0,0,0,0,0,0
1492,CLARK,MISSOURI,29,23,0,0,271,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,180,262,0,0,0,174,0,0,0,0,0,645,0,0,0,0,0,0
1493,CLAY,MISSOURI,29,24,0,0,300,0,0,74,0,0,0,0,0,0,0,3105,0,0,0,0,0,0,0,0,0,0,0,0,0,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,146,0,0,330,1870,0,0,0,736,0,0,0,0,0,781,0,0,0,0,0,0
1494,CLINTON,MISSOURI,29,25,0,0,474,0,0,0,0,0,0,24,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,137,0,0,912,211,0,0,0,121,215,0,0,0,0,770,0,0,0,0,0,0
1495,COLE,MISSOURI,29,26,0,0,1385,0,0,38,0,0,0,490,0,0,0,2258,0,0,0,0,0,58,0,0,0,0,0,0,0,1147,0,0,823,0,0,0,0,0,0,0,0,90,0,51,0,0,0,0,0,0,1891,0,0,0,0,92,0,0,0,966,0,0,0,0,626,0,140,0,0,7271,0,0,0,0,0,0
1496,COOPER,MISSOURI,29,27,0,0,127,0,0,0,0,0,0,944,0,0,0,2000,0,0,0,0,0,89,0,0,0,0,0,0,0,608,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,172,0,0,0,832,0,0,0,293,177,0,90,0,0,1858,0,0,0,0,0,0
1497,CRAWFORD,MISSOURI,29,28,0,0,196,0,0,100,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,150,223,0,0,0,0,244,0,24,0,0,281,0,0,0,0,0,0
1498,DADE,MISSOURI,29,29,0,0,279,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,305,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,407,135,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0
1499,DALLAS,MISSOURI,29,30,0,0,627,0,0,36,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,DAVIESS,MISSOURI,29,31,0,0,226,0,0,57,0,0,0,8,0,0,0,522,0,0,0,0,0,24,0,0,0,0,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,239,1080,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0
1501,DE KALB,MISSOURI,29,32,0,0,82,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,10,380,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,363,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0
1502,DENT,MISSOURI,29,33,0,0,204,0,0,83,0,0,0,0,0,0,0,1074,0,0,0,0,0,22,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,7,0,0,64,0,0,0,0,0,0
1503,DOUGLAS,MISSOURI,29,34,0,0,536,0,0,0,0,0,380,0,0,0,0,127,0,0,0,0,0,30,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
